ACC,Big Ten,Big 12,Pac-12,SEC
Boston College,Illinois,Baylor,Arizona,Alabama
Clemson,Indiana,Iowa State,Arizona State,Arkansas
Duke,Iowa,Kansas,California,Auburn
Florida State,Maryland,Kansas State,UCLA,Florida
Georgia Tech,Michigan,Oklahoma State,Colorado,Georgia
Louisville,Michigan State,TCU,Oregon,Kentucky
Miami (FL),Minnesota,Texas Tech,Oregon State,LSU
North Carolina,Nebraska,West Virginia,USC,Ole Miss
NC State,Northwestern,Texas,Stanford,Mississippi State
Pittsburgh,Ohio State,Oklahoma,Utah,Missouri
Syracuse,Penn State,,Washington,South Carolina
Virginia,Purdue,,Washington State,Tennessee
Virginia Tech,Rutgers,,,Texas A&M
Wake Forest,Wisconsin,,,Vanderbilt
Notre Dame,,,,
